 @RELATION predict

 @ATTRIBUTE act_last_two  {0,1,2,3,4,5,6,7,8,9,10,11,12}
 @ATTRIBUTE act_last   {0,1,2,3,4,5,6,7,8,9,10,11,12}
 @ATTRIBUTE startTime  {0,1,2,3,4,5}
 @ATTRIBUTE act   {0,1,2,3,4,5,6,7,8,9,10,11,12}
 @data
10,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,1
12,1,1,12
1,12,1,6
12,6,1,12
6,12,1,1
12,1,2,12
1,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,3,2
12,2,3,12
2,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,7
12,7,3,12
7,12,3,8
12,8,3,12
8,12,3,9
12,9,3,12
9,12,3,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,5
12,5,4,12
5,12,4,7
12,7,4,12
7,12,5,8
12,8,5,12
8,12,5,9
12,9,5,12
9,12,5,9
12,9,5,12
9,12,5,2
12,2,5,12
2,12,5,9
12,9,5,12
9,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,0,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,1,2
12,2,1,12
2,12,2,9
12,9,2,12
9,12,2,7
12,7,2,12
7,12,2,8
12,8,2,12
8,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,9
12,9,3,12
9,12,3,2
12,2,3,12
2,12,3,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,5,12
2,12,5,9
12,9,5,12
9,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,1
12,1,0,12
1,12,0,6
12,6,0,12
6,12,0,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,2,9
12,9,2,12
9,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,3
12,3,2,9
3,9,2,12
9,12,2,9
12,9,2,12
9,12,2,7
12,7,2,12
7,12,3,8
12,8,3,12
8,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,10
12,10,5,12
10,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,3
12,3,0,12
3,12,0,1
12,1,1,12
1,12,1,6
12,6,1,12
6,12,1,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,2,7
12,7,2,12
7,12,2,8
12,8,2,12
8,12,2,5
12,5,2,12
5,12,2,5
12,5,2,12
5,12,2,7
12,7,2,12
7,12,3,8
12,8,3,12
8,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,2
12,2,3,12
2,12,3,7
12,7,3,12
7,12,3,8
12,8,3,12
8,12,3,9
12,9,3,12
9,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,7
12,7,4,12
7,12,4,8
12,8,4,12
8,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,1
12,1,0,12
1,12,0,6
12,6,0,12
6,12,0,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,3
12,3,1,12
3,12,1,9
12,9,2,12
9,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,5
12,5,2,12
5,12,2,5
12,5,2,12
5,12,2,7
12,7,2,12
7,12,3,8
12,8,3,12
8,12,3,2
12,2,3,12
2,12,3,3
12,3,3,12
3,12,4,2
12,2,4,12
2,12,4,5
12,5,4,12
5,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,3
12,3,4,12
3,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,10
12,10,4,12
10,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,10
12,10,5,12
10,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,0,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,2,7
12,7,2,12
7,12,3,8
12,8,3,12
8,12,3,5
12,5,3,12
5,12,3,7
12,7,3,12
7,12,3,8
12,8,3,12
8,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,3
12,3,4,12
3,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,5
12,5,4,12
5,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,10
12,10,4,12
10,12,4,2
12,2,5,12
2,12,5,5
12,5,5,12
5,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,1
12,1,1,12
1,12,1,6
12,6,1,12
6,12,1,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,7
12,7,2,12
7,12,3,8
12,8,3,12
8,12,3,2
12,2,3,12
2,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,3
12,3,3,12
3,12,3,10
12,10,3,12
10,12,3,2
12,2,3,12
2,12,3,7
12,7,3,12
7,12,3,8
12,8,3,12
8,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,11
12,11,4,12
11,12,4,2
12,2,4,12
2,12,4,7
12,7,4,12
7,12,4,8
12,8,4,12
8,12,4,7
12,7,4,12
7,12,4,8
12,8,4,12
8,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,1,2
12,2,1,12
2,12,2,9
12,9,2,12
9,12,2,7
12,7,2,12
7,12,3,8
12,8,3,12
8,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,1,9
12,9,1,12
9,12,2,7
12,7,2,12
7,12,2,8
12,8,2,12
8,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,9
12,9,5,12
9,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,1
12,1,1,12
1,12,1,6
12,6,1,12
6,12,1,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,3
12,3,2,12
3,12,2,3
12,3,2,12
3,12,2,5
12,5,2,12
5,12,2,7
12,7,2,12
7,12,3,8
12,8,3,12
8,12,3,3
12,3,3,12
3,12,3,2
12,2,3,12
2,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,5
12,5,4,12
5,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,1
12,1,1,12
1,12,1,6
12,6,1,12
6,12,1,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,1,2
12,2,1,12
2,12,1,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,2
12,2,2,12
2,12,2,5
12,5,2,12
5,12,2,9
12,9,2,12
9,12,3,7
12,7,3,12
7,12,3,8
12,8,3,12
8,12,3,9
12,9,3,12
9,12,3,2
12,2,3,12
2,12,3,9
12,9,3,12
9,12,3,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,0,1
12,1,1,12
1,12,1,6
12,6,1,12
6,12,1,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,1,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,3
12,3,2,12
3,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,10
12,10,2,12
10,12,2,7
12,7,2,12
7,12,3,8
12,8,3,12
8,12,3,7
12,7,3,12
7,12,3,8
12,8,3,12
8,12,3,5
12,5,3,12
5,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,5
12,5,4,12
5,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,1,9
12,9,1,12
9,12,1,9
12,9,1,12
9,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,7
12,7,2,12
7,12,2,8
12,8,2,12
8,12,2,9
12,9,2,12
9,12,2,2
12,2,2,3
2,3,3,12
3,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,9
12,9,3,12
9,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,7
12,7,4,12
7,12,4,8
12,8,4,12
8,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,1,2
12,2,1,12
2,12,1,3
12,3,1,12
3,12,1,9
12,9,1,12
9,12,2,2
12,2,2,12
2,12,2,7
12,7,2,12
7,12,2,8
12,8,2,12
8,12,2,2
12,2,2,12
2,12,2,7
12,7,2,12
7,12,2,8
12,8,2,12
8,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,2
12,2,2,12
2,12,2,7
12,7,2,12
7,12,3,8
12,8,3,12
8,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,4,2
12,2,4,12
2,12,4,7
12,7,4,12
7,12,4,8
12,8,4,12
8,12,4,7
12,7,4,12
7,12,4,8
12,8,4,12
8,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,1
12,1,1,12
1,12,1,6
12,6,1,12
6,12,1,1
12,1,2,12
1,12,2,9
12,9,2,12
9,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,2
12,2,2,12
2,12,2,7
12,7,2,12
7,12,3,8
12,8,3,12
8,12,3,9
12,9,3,12
9,12,3,2
12,2,3,12
2,12,3,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,5,12
2,12,5,1
12,1,1,12
1,12,1,1
12,1,1,12
1,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,5
12,5,2,12
5,12,2,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,1
12,1,1,12
1,12,1,6
12,6,1,12
6,12,1,1
12,1,1,12
1,12,1,9
12,9,2,12
9,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,3
12,3,2,12
3,12,2,7
12,7,2,12
7,12,3,8
12,8,3,12
8,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,0,1
12,1,1,12
1,12,1,6
12,6,1,12
6,12,1,1
12,1,2,12
1,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,3
12,3,2,12
3,12,2,10
12,10,2,12
10,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,2
12,2,3,12
2,12,3,7
12,7,3,12
7,12,3,8
12,8,3,12
8,12,4,2
12,2,4,12
2,12,4,7
12,7,4,12
7,12,5,8
12,8,5,12
8,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,3
12,3,2,12
3,12,2,10
12,10,2,12
10,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,11
12,11,2,12
11,12,2,7
12,7,2,12
7,12,3,8
12,8,3,12
8,12,3,3
12,3,3,12
3,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,7
12,7,3,12
7,12,4,8
12,8,4,12
8,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,2,2
12,2,2,12
2,12,2,7
12,7,2,12
7,12,2,8
12,8,2,12
8,12,2,9
12,9,2,12
9,12,2,3
12,3,2,12
3,12,2,2
12,2,2,12
2,12,2,7
12,7,2,12
7,12,3,8
12,8,3,12
8,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,7
12,7,3,12
7,12,4,8
12,8,4,12
8,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,1
12,1,1,12
1,12,1,6
12,6,1,12
6,12,1,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,1,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,3
12,3,2,12
3,12,2,10
12,10,2,12
10,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,11
12,11,2,12
11,12,2,7
12,7,2,12
7,12,3,8
12,8,3,12
8,12,3,9
12,9,3,12
9,12,3,3
12,3,3,12
3,12,3,2
12,2,3,12
2,12,3,7
12,7,3,12
7,12,4,8
12,8,4,12
8,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,3
12,3,4,12
3,12,4,9
12,9,4,12
9,12,4,3
12,3,4,12
3,12,4,3
12,3,4,12
3,12,4,9
12,9,4,12
9,12,4,3
12,3,5,12
3,12,5,10
12,10,5,12
10,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,1
12,1,1,12
1,12,1,6
12,6,1,12
6,12,1,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,1,2
12,2,1,12
2,12,1,9
12,9,1,12
9,12,1,3
12,3,1,12
3,12,1,2
12,2,1,12
2,12,1,7
12,7,1,12
7,12,4,8
12,8,4,12
8,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,1
12,1,1,12
1,12,2,9
12,9,2,12
9,12,2,2
12,2,2,9
2,9,2,12
9,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,3
12,3,2,12
3,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,2
12,2,3,12
2,12,3,9
12,9,3,12
9,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,4,12
2,12,4,2
12,2,4,9
2,9,4,12
9,12,4,9
12,9,4,12
9,12,4,2
12,2,4,9
2,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,9
2,9,4,12
9,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,9
12,9,4,2
9,2,4,12
2,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,1,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,9
12,9,3,12
9,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,9
12,9,3,12
9,12,3,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,9
12,9,1,12
9,12,1,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,3
12,3,2,12
3,12,2,2
12,2,2,12
2,12,2,2
12,2,3,12
2,12,3,9
12,9,3,12
9,12,3,5
12,5,3,12
5,12,3,5
12,5,3,12
5,12,3,5
12,5,3,12
5,12,3,9
12,9,3,12
9,12,3,3
12,3,3,12
3,12,3,7
12,7,3,12
7,12,3,8
12,8,3,12
8,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,2
12,2,3,12
2,12,4,7
12,7,4,12
7,12,4,8
12,8,4,12
8,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,1,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,3
12,3,2,12
3,12,2,9
12,9,2,12
9,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,3,9
12,9,3,12
9,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,4,2
12,2,4,12
2,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,1
12,1,1,12
1,12,1,6
12,6,1,12
6,12,1,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,1,2
12,2,1,12
2,12,1,2
12,2,1,12
2,12,1,2
12,2,1,12
2,12,2,7
12,7,2,12
7,12,2,8
12,8,2,12
8,12,2,9
12,9,2,12
9,12,2,9
12,9,2,12
9,12,2,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,7
12,7,3,12
7,12,3,8
12,8,3,12
8,12,3,2
12,2,3,12
2,12,3,7
12,7,3,12
7,12,4,8
12,8,4,12
8,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,9
12,9,4,12
9,12,4,2
12,2,4,12
2,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,1
12,1,2,12
1,12,2,9
12,9,2,12
9,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
2,12,2,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,9
12,9,3,12
9,12,3,3
12,3,3,12
3,12,3,2
12,2,3,12
2,12,3,2
12,2,3,12
2,12,3,5
12,5,4,12
5,12,4,9
12,9,4,12
9,12,4,5
12,5,4,12
5,12,4,9
12,9,4,12
9,12,4,9
12,9,4,2
9,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,4,12
2,12,4,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,5,12
2,12,5,2
12,2,0,12
2,12,0,1
12,1,1,12
1,12,1,9
12,9,1,12
9,12,2,2
12,2,2,12
2,12,2,2
12,2,2,12
